2018-3-2 7:00:00, 253, 103, 26
2018-3-2 8:00:00, 301, 113, 38
2018-3-2 9:00:00, 289, 128, 32
2018-3-2 10:00:00, 243, 99, 29
2018-3-2 11:00:00, 321, 131, 31
2018-3-2 12:00:00, 305, 123, 32
2018-3-2 13:00:00, 296, 118, 23
2018-3-2 14:00:00, 349, 143, 29
2018-3-2 15:00:00, 363, 161, 31
2018-3-2 16:00:00, 370, 144, 33
2018-3-2 17:00:00, 326, 135, 30
2018-3-2 18:00:00, 274, 124, 20
2018-3-2 19:00:00, 327, 140, 23
2018-3-2 20:00:00, 244, 89, 28
2018-3-2 21:00:00, 243, 102, 24
2018-3-2 22:00:00, 257, 115, 25
2018-3-2 23:00:00, 205, 72, 20
2018-3-3 0:00:00, 165, 75, 19
2018-3-3 1:00:00, 220, 82, 27
2018-3-3 2:00:00, 217, 81, 24
2018-3-3 3:00:00, 165, 63, 18
2018-3-3 4:00:00, 169, 72, 20
2018-3-3 5:00:00, 183, 75, 15
2018-3-3 6:00:00, 173, 74, 17
2018-3-3 7:00:00, 210, 87, 20
2018-3-3 8:00:00, 230, 95, 23
2018-3-3 9:00:00, 229, 99, 17
2018-3-3 10:00:00, 245, 119, 20
2018-3-3 11:00:00, 259, 113, 27
2018-3-3 12:00:00, 284, 125, 27
2018-3-3 13:00:00, 279, 124, 32
2018-3-3 14:00:00, 297, 142, 26
2018-3-3 15:00:00, 271, 126, 20
2018-3-3 16:00:00, 319, 138, 30
2018-3-3 17:00:00, 265, 113, 27
2018-3-3 18:00:00, 273, 132, 21
2018-3-3 19:00:00, 287, 143, 22
2018-3-3 20:00:00, 235, 103, 27
2018-3-3 21:00:00, 218, 91, 19
2018-3-3 22:00:00, 197, 88, 21
2018-3-3 23:00:00, 186, 83, 17
2018-3-4 0:00:00, 171, 82, 14
2018-3-4 1:00:00, 150, 78, 14
2018-3-4 2:00:00, 145, 64, 18
2018-3-4 3:00:00, 145, 60, 17
2018-3-4 4:00:00, 160, 59, 17
2018-3-4 5:00:00, 132, 57, 11
2018-3-4 6:00:00, 179, 74, 23
2018-3-4 7:00:00, 204, 92, 25
2018-3-4 8:00:00, 238, 111, 18
2018-3-4 9:00:00, 214, 111, 21
2018-3-4 10:00:00, 224, 107, 18
2018-3-4 11:00:00, 232, 81, 28
2018-3-4 12:00:00, 236, 112, 30
2018-3-4 13:00:00, 279, 128, 22
2018-3-4 14:00:00, 273, 120, 22
2018-3-4 15:00:00, 264, 118, 33
2018-3-4 16:00:00, 262, 119, 21
2018-3-4 17:00:00, 281, 145, 19
2018-3-4 18:00:00, 262, 115, 28
2018-3-4 19:00:00, 231, 105, 21
2018-3-4 20:00:00, 263, 108, 39
2018-3-4 21:00:00, 256, 120, 33
2018-3-4 22:00:00, 204, 73, 25
2018-3-4 23:00:00, 180, 69, 23
2018-3-5 0:00:00, 184, 81, 22
2018-3-5 1:00:00, 175, 69, 25
2018-3-5 2:00:00, 173, 64, 29
2018-3-5 3:00:00, 184, 80, 20
2018-3-5 4:00:00, 196, 74, 28
2018-3-5 5:00:00, 199, 90, 24
2018-3-5 6:00:00, 199, 91, 23
2018-3-5 7:00:00, 240, 113, 23
2018-3-5 8:00:00, 285, 125, 37
2018-3-5 9:00:00, 266, 134, 26
2018-3-5 10:00:00, 274, 124, 26
2018-3-5 11:00:00, 274, 119, 20
2018-3-5 12:00:00, 297, 131, 26
2018-3-5 13:00:00, 330, 146, 32
2018-3-5 14:00:00, 296, 126, 28
2018-3-5 15:00:00, 303, 127, 27
2018-3-5 16:00:00, 297, 124, 32
2018-3-5 17:00:00, 330, 153, 28
2018-3-5 18:00:00, 324, 144, 37
2018-3-5 19:00:00, 356, 163, 38
2018-3-5 20:00:00, 286, 127, 27
2018-3-5 21:00:00, 258, 116, 20
2018-3-5 22:00:00, 250, 109, 28
2018-3-5 23:00:00, 208, 79, 29
2018-3-6 0:00:00, 228, 117, 23
2018-3-6 1:00:00, 191, 74, 23
2018-3-6 2:00:00, 170, 63, 19
2018-3-6 3:00:00, 185, 74, 20
2018-3-6 4:00:00, 168, 72, 22
2018-3-6 5:00:00, 190, 78, 13
2018-3-6 6:00:00, 226, 86, 23
2018-3-6 7:00:00, 223, 96, 27
2018-3-6 8:00:00, 346, 165, 32
2018-3-6 9:00:00, 231, 101, 24
2018-3-6 10:00:00, 306, 148, 29
2018-3-6 11:00:00, 294, 123, 34
2018-3-6 12:00:00, 290, 129, 27
2018-3-6 13:00:00, 354, 155, 40
2018-3-6 14:00:00, 351, 164, 31
2018-3-6 15:00:00, 333, 144, 29
2018-3-6 16:00:00, 301, 136, 32
2018-3-6 17:00:00, 343, 152, 41
2018-3-6 18:00:00, 334, 158, 24
2018-3-6 19:00:00, 305, 136, 31
2018-3-6 20:00:00, 302, 137, 30
2018-3-6 21:00:00, 262, 108, 23
2018-3-6 22:00:00, 286, 122, 16
2018-3-6 23:00:00, 248, 118, 29
2018-3-7 0:00:00, 198, 69, 26
2018-3-7 1:00:00, 174, 62, 16
2018-3-7 2:00:00, 157, 66, 19
2018-3-7 3:00:00, 174, 81, 18
2018-3-7 4:00:00, 193, 80, 17
2018-3-7 5:00:00, 188, 66, 25
2018-3-7 6:00:00, 240, 102, 21
