Date,"Close Price"
"2018-03-06 00:00:00",11301.35
"2018-03-06 01:00:00",11291.35
"2018-03-06 02:00:00",11261.86
"2018-03-06 03:00:00",11245.63
"2018-03-06 04:00:00",11269.88
"2018-03-06 05:00:00",11301.93
"2018-03-06 06:00:00",11286.31
"2018-03-06 07:00:00",11273.03
"2018-03-06 08:00:00",11252.02
"2018-03-06 09:00:00",11256.41
"2018-03-06 10:00:00",10934.48
"2018-03-06 11:00:00",10938.8
"2018-03-06 12:00:00",10917.54
"2018-03-06 13:00:00",10846.62
"2018-03-06 14:00:00",10994.5
"2018-03-06 15:00:00",10974.2
"2018-03-06 16:00:00",10943.17
"2018-03-06 17:00:00",10788.33
"2018-03-06 18:00:00",10718.58
"2018-03-06 19:00:00",10695.19
"2018-03-06 20:00:00",10624.67
"2018-03-06 21:00:00",10792.55
"2018-03-06 22:00:00",10763.86
"2018-03-06 23:00:00",10708.27
"2018-03-07 00:00:00",10875.94
"2018-03-07 01:00:00",10853.18
"2018-03-07 02:00:00",10790.98
"2018-03-07 03:00:00",10745.86
"2018-03-07 04:00:00",10769.61
"2018-03-07 05:00:00",10660.71
"2018-03-07 06:00:00",10502.44
"2018-03-07 07:00:00",10507.88
"2018-03-07 08:00:00",10550.63
"2018-03-07 09:00:00",10483.25
"2018-03-07 10:00:00",10477.99
"2018-03-07 11:00:00",10614.33
"2018-03-07 12:00:00",10594.19
"2018-03-07 13:00:00",10551.27
"2018-03-07 14:00:00",10654
"2018-03-07 15:00:00",10658.95
"2018-03-07 16:00:00",9942.78
"2018-03-07 17:00:00",9784.71
"2018-03-07 18:00:00",9758.28
"2018-03-07 19:00:00",9847.17
"2018-03-07 20:00:00",9772.73
"2018-03-07 21:00:00",9946.66
"2018-03-07 22:00:00",9933.88
"2018-03-07 23:00:00",9894.46
"2018-03-08 00:00:00",9949.89
"2018-03-08 01:00:00",9862.16
"2018-03-08 02:00:00",9636.29
"2018-03-08 03:00:00",9548.11
"2018-03-08 04:00:00",9765.37
"2018-03-08 05:00:00",9820.19
"2018-03-08 06:00:00",9748.27
"2018-03-08 07:00:00",9972.37
"2018-03-08 08:00:00",9895.8
"2018-03-08 09:00:00",10051.9
"2018-03-08 10:00:00",10025.86
"2018-03-08 11:00:00",9949.04
"2018-03-08 12:00:00",9796.71
"2018-03-08 13:00:00",9886.9
"2018-03-08 14:00:00",9787.95
"2018-03-08 15:00:00",9908.8
"2018-03-08 16:00:00",9406.88
"2018-03-08 17:00:00",9288.89
"2018-03-08 18:00:00",9356.01
"2018-03-08 19:00:00",9347.87
"2018-03-08 20:00:00",9385.51
"2018-03-08 21:00:00",9340.63
"2018-03-08 22:00:00",9275.86
"2018-03-08 23:00:00",9302.32
"2018-03-09 00:00:00",9375.61
"2018-03-09 01:00:00",9112.27
"2018-03-09 02:00:00",9015.27
"2018-03-09 03:00:00",8985.95
"2018-03-09 04:00:00",8667.88
"2018-03-09 05:00:00",8495.55
"2018-03-09 06:00:00",8855.03
"2018-03-09 07:00:00",8726.67
"2018-03-09 08:00:00",8678.6
"2018-03-09 09:00:00",8578.04
